ID: 3d:tessellate | Name: 테셀레이트
ID: grass:i.topo.coor.ill | Name: i.topo.coor.ill
ID: grass:i.topo.corr | Name: i.topo.corr
ID: grass:i.vi | Name: i.vi
ID: grass:i.zc | Name: i.zc
ID: grass:m.cogo | Name: m.cogo
ID: grass:nviz | Name: nviz
ID: grass:r.basins.fill | Name: r.basins.fill
ID: grass:r.blend.combine | Name: r.blend.combine
ID: grass:r.blend.rgb | Name: r.blend.rgb
ID: grass:r.buffer | Name: r.buffer
ID: grass:r.buffer.lowmem | Name: r.buffer.lowmem
ID: grass:r.carve | Name: r.carve
ID: grass:r.category | Name: r.category
ID: grass:r.category.out | Name: r.category.out
ID: grass:r.circle | Name: r.circle
ID: grass:r.clump | Name: r.clump
ID: grass:r.coin | Name: r.coin
ID: grass:r.colors | Name: r.colors
ID: grass:r.colors.out | Name: r.colors.out
ID: grass:r.colors.stddev | Name: r.colors.stddev
ID: grass:r.composite | Name: r.composite
ID: grass:r.contour | Name: r.contour
ID: grass:r.cost | Name: r.cost
ID: grass:r.covar | Name: r.covar
ID: grass:r.cross | Name: r.cross
ID: grass:r.describe | Name: r.describe
ID: grass:r.distance | Name: r.distance
ID: grass:r.drain | Name: r.drain
ID: grass:r.fill.dir | Name: r.fill.dir
ID: grass:r.fill.stats | Name: r.fill.stats
ID: grass:r.fillnulls | Name: r.fillnulls
ID: grass:r.flow | Name: r.flow
ID: grass:r.geomorphon | Name: r.geomorphon
ID: grass:r.grow | Name: r.grow
ID: grass:r.grow.distance | Name: r.grow.distance
ID: grass:r.gwflow | Name: r.gwflow
ID: grass:r.his | Name: r.his
ID: grass:r.horizon | Name: r.horizon
ID: grass:r.horizon.height | Name: r.horizon.height
ID: grass:r.in.lidar | Name: r.in.lidar
ID: grass:r.in.lidar.info | Name: r.in.lidar.info
ID: grass:r.info | Name: r.info
ID: grass:r.kappa | Name: r.kappa
ID: grass:r.lake | Name: r.lake
ID: grass:r.latlong | Name: r.latlong
ID: grass:r.li.cwed | Name: r.li.cwed
ID: grass:r.li.cwed.ascii | Name: r.li.cwed.ascii
ID: grass:r.li.dominance | Name: r.li.dominance
ID: grass:r.li.dominance.ascii | Name: r.li.dominance.ascii
ID: grass:r.li.edgedensity | Name: r.li.edgedensity
ID: grass:r.li.edgedensity.ascii | Name: r.li.edgedensity.ascii
ID: grass:r.li.mpa | Name: r.li.mpa
ID: grass:r.li.mpa.ascii | Name: r.li.mpa.ascii
ID: grass:r.li.mps | Name: r.li.mps
ID: grass:r.li.mps.ascii | Name: r.li.mps.ascii
ID: grass:r.li.padcv | Name: r.li.padcv
ID: grass:r.li.padcv.ascii | Name: r.li.padcv.ascii
ID: grass:r.li.padrange | Name: r.li.padrange
ID: grass:r.li.padrange.ascii | Name: r.li.padrange.ascii
ID: grass:r.li.padsd | Name: r.li.padsd
ID: grass:r.li.padsd.ascii | Name: r.li.padsd.ascii
ID: grass:r.li.patchdensity | Name: r.li.patchdensity
ID: grass:r.li.patchdensity.ascii | Name: r.li.patchdensity.ascii
ID: grass:r.li.patchnum | Name: r.li.patchnum
ID: grass:r.li.patchnum.ascii | Name: r.li.patchnum.ascii
ID: grass:r.li.pielou | Name: r.li.pielou
ID: grass:r.li.pielou.ascii | Name: r.li.pielou.ascii
ID: grass:r.li.renyi | Name: r.li.renyi
ID: grass:r.li.renyi.ascii | Name: r.li.renyi.ascii
ID: grass:r.li.richness | Name: r.li.richness
ID: grass:r.li.richness.ascii | Name: r.li.richness.ascii
ID: grass:r.li.shannon | Name: r.li.shannon
ID: grass:r.li.shannon.ascii | Name: r.li.shannon.ascii
ID: grass:r.li.shape | Name: r.li.shape
ID: grass:r.li.shape.ascii | Name: r.li.shape.ascii
ID: grass:r.li.simpson | Name: r.li.simpson
ID: grass:r.li.simpson.ascii | Name: r.li.simpson.ascii
ID: grass:r.mapcalc.simple | Name: r.mapcalc.simple
ID: grass:r.mask.rast | Name: r.mask.rast
ID: grass:r.mask.vect | Name: r.mask.vect
ID: grass:r.mfilter | Name: r.mfilter
ID: grass:r.mode | Name: r.mode
ID: grass:r.neighbors | Name: r.neighbors
ID: grass:r.null | Name: r.null
ID: grass:r.out.ascii | Name: r.out.ascii
ID: grass:r.out.gridatb | Name: r.out.gridatb
ID: grass:r.out.mat | Name: r.out.mat
ID: grass:r.out.mpeg | Name: r.out.mpeg
ID: grass:r.out.png | Name: r.out.png
ID: grass:r.out.pov | Name: r.out.pov
ID: grass:r.out.ppm | Name: r.out.ppm
ID: grass:r.out.ppm3 | Name: r.out.ppm3
ID: grass:r.out.vrml | Name: r.out.vrml
ID: grass:r.out.vtk | Name: r.out.vtk
ID: grass:r.out.xyz | Name: r.out.xyz
ID: grass:r.param.scale | Name: r.param.scale
ID: grass:r.patch | Name: r.patch
ID: grass:r.path | Name: r.path
ID: grass:r.path.coordinate.txt | Name: r.path.coordinate.txt
ID: grass:r.plane | Name: r.plane
ID: grass:r.profile | Name: r.profile
ID: grass:r.proj | Name: r.proj
ID: grass:r.quant | Name: r.quant
ID: grass:r.quantile | Name: r.quantile
ID: grass:r.quantile.plain | Name: r.quantile.plain
ID: grass:r.random | Name: r.random
ID: grass:r.random.cells | Name: r.random.cells
ID: grass:r.random.surface | Name: r.random.surface
ID: grass:r.reclass | Name: r.reclass
ID: grass:r.reclass.area | Name: r.reclass.area
ID: grass:r.recode | Name: r.recode
ID: grass:r.regression.line | Name: r.regression.line
ID: grass:r.regression.multi | Name: r.regression.multi
ID: grass:r.relief | Name: r.relief
ID: grass:r.relief.scaling | Name: r.relief.scaling
ID: grass:r.report | Name: r.report
ID: grass:r.resamp.bspline | Name: r.resamp.bspline
ID: grass:r.resamp.filter | Name: r.resamp.filter
ID: grass:r.resamp.interp | Name: r.resamp.interp
ID: grass:r.resamp.rst | Name: r.resamp.rst
ID: grass:r.resamp.stats | Name: r.resamp.stats
ID: grass:r.resample | Name: r.resample
ID: grass:r.rescale | Name: r.rescale
ID: grass:r.rescale.eq | Name: r.rescale.eq
ID: grass:r.rgb | Name: r.rgb
ID: grass:r.ros | Name: r.ros
ID: grass:r.series | Name: r.series
ID: grass:r.series.accumulate | Name: r.series.accumulate
ID: grass:r.series.interp | Name: r.series.interp
ID: grass:r.shade | Name: r.shade
ID: grass:r.sim.sediment | Name: r.sim.sediment
ID: grass:r.sim.water | Name: r.sim.water
ID: grass:r.slope.aspect | Name: r.slope.aspect
ID: grass:r.solute.transport | Name: r.solute.transport
ID: grass:r.spread | Name: r.spread
ID: grass:r.spreadpath | Name: r.spreadpath
ID: grass:r.statistics | Name: r.statistics
ID: grass:r.stats | Name: r.stats
ID: grass:r.stats.quantile.out | Name: r.stats.quantile.out
ID: grass:r.stats.quantile.rast | Name: r.stats.quantile.rast
ID: grass:r.stats.zonal | Name: r.stats.zonal
ID: grass:r.stream.extract | Name: r.stream.extract
ID: grass:r.sun.incidout | Name: r.sun.incidout
ID: grass:r.sun.insoltime | Name: r.sun.insoltime
ID: grass:r.sunhours | Name: r.sunhours
ID: grass:r.sunmask.datetime | Name: r.sunmask.datetime
ID: grass:r.sunmask.position | Name: r.sunmask.position
ID: grass:r.surf.area | Name: r.surf.area
ID: grass:r.surf.contour | Name: r.surf.contour
ID: grass:r.surf.fractal | Name: r.surf.fractal
ID: grass:r.surf.gauss | Name: r.surf.gauss
ID: grass:r.surf.idw | Name: r.surf.idw
ID: grass:r.surf.random | Name: r.surf.random
ID: grass:r.terraflow | Name: r.terraflow
ID: grass:r.texture | Name: r.texture
ID: grass:r.thin | Name: r.thin
ID: grass:r.tile | Name: r.tile
ID: grass:r.tileset | Name: r.tileset
ID: grass:r.to.vect | Name: r.to.vect
ID: grass:r.topidx | Name: r.topidx
ID: grass:r.topmodel | Name: r.topmodel
ID: grass:r.topmodel.topidxstats | Name: r.topmodel.topidxstats
ID: grass:r.transect | Name: r.transect
ID: grass:r.univar | Name: r.univar
ID: grass:r.uslek | Name: r.uslek
ID: grass:r.usler | Name: r.usler
ID: grass:r.viewshed | Name: r.viewshed
ID: grass:r.volume | Name: r.volume
ID: grass:r.walk.coords | Name: r.walk.coords
ID: grass:r.walk.points | Name: r.walk.points
ID: grass:r.walk.rast | Name: r.walk.rast
ID: grass:r.water.outlet | Name: r.water.outlet
ID: grass:r.watershed | Name: r.watershed
ID: grass:r.what.color | Name: r.what.color
ID: grass:r.what.coords | Name: r.what.coords
ID: grass:r.what.points | Name: r.what.points
ID: grass:v.buffer | Name: v.buffer
ID: grass:v.build.check | Name: v.build.check
ID: grass:v.build.polylines | Name: v.build.polylines
ID: grass:v.class | Name: v.class
ID: grass:v.clean | Name: v.clean
ID: grass:v.cluster | Name: v.cluster
ID: grass:v.db.select | Name: v.db.select
ID: grass:v.decimate | Name: v.decimate
ID: grass:v.delaunay | Name: v.delaunay
ID: grass:v.dissolve | Name: v.dissolve
ID: grass:v.distance | Name: v.distance
ID: grass:v.drape | Name: v.drape
ID: grass:v.edit | Name: v.edit
ID: grass:v.extract | Name: v.extract
ID: grass:v.extrude | Name: v.extrude
ID: grass:v.generalize | Name: v.generalize
ID: grass:v.hull | Name: v.hull
ID: grass:v.in.ascii | Name: v.in.ascii
ID: grass:v.in.dxf | Name: v.in.dxf
ID: grass:v.in.e00 | Name: v.in.e00
ID: grass:v.in.geonames | Name: v.in.geonames
ID: grass:v.in.lidar | Name: v.in.lidar
ID: grass:v.in.lines | Name: v.in.lines
ID: grass:v.in.mapgen | Name: v.in.mapgen
ID: grass:v.in.wfs | Name: v.in.wfs
ID: grass:v.info | Name: v.info
ID: grass:v.kcv | Name: v.kcv
ID: grass:v.kernel.rast | Name: v.kernel.rast
ID: grass:v.kernel.vector | Name: v.kernel.vector
ID: grass:v.lidar.correction | Name: v.lidar.correction
ID: grass:v.lidar.edgedetection | Name: v.lidar.edgedetection
ID: grass:v.lidar.growing | Name: v.lidar.growing
ID: grass:v.mkgrid | Name: v.mkgrid
ID: grass:v.neighbors | Name: v.neighbors
ID: grass:v.net | Name: v.net
ID: grass:v.net.alloc | Name: v.net.alloc
ID: grass:v.net.allpairs | Name: v.net.allpairs
ID: grass:v.net.bridge | Name: v.net.bridge
ID: grass:v.net.centrality | Name: v.net.centrality
ID: grass:v.net.components | Name: v.net.components
ID: grass:v.net.connectivity | Name: v.net.connectivity
ID: grass:v.net.distance | Name: v.net.distance
ID: grass:v.net.flow | Name: v.net.flow
ID: grass:v.net.iso | Name: v.net.iso
ID: grass:v.net.nreport | Name: v.net.nreport
ID: grass:v.net.path | Name: v.net.path
ID: grass:v.net.report | Name: v.net.report
ID: grass:v.net.salesman | Name: v.net.salesman
ID: grass:v.net.spanningtree | Name: v.net.spanningtree
ID: grass:v.net.steiner | Name: v.net.steiner
ID: grass:v.net.timetable | Name: v.net.timetable
ID: grass:v.net.visibility | Name: v.net.visibility
ID: grass:v.normal | Name: v.normal
ID: grass:v.out.ascii | Name: v.out.ascii
ID: grass:v.out.dxf | Name: v.out.dxf
ID: grass:v.out.postgis | Name: v.out.postgis
ID: grass:v.out.pov | Name: v.out.pov
ID: grass:v.out.svg | Name: v.out.svg
ID: grass:v.out.vtk | Name: v.out.vtk
ID: grass:v.outlier | Name: v.outlier
ID: grass:v.overlay | Name: v.overlay
ID: grass:v.pack | Name: v.pack
ID: grass:v.parallel | Name: v.parallel
ID: grass:v.patch | Name: v.patch
ID: grass:v.perturb | Name: v.perturb
ID: grass:v.proj | Name: v.proj
ID: grass:v.qcount | Name: v.qcount
ID: grass:v.random | Name: v.random
ID: grass:v.rast.stats | Name: v.rast.stats
ID: grass:v.reclass | Name: v.reclass
ID: grass:v.rectify | Name: v.rectify
ID: grass:v.report | Name: v.report
ID: grass:v.sample | Name: v.sample
ID: grass:v.segment | Name: v.segment
ID: grass:v.select | Name: v.select
ID: grass:v.split | Name: v.split
ID: grass:v.surf.bspline | Name: v.surf.bspline
ID: grass:v.surf.idw | Name: v.surf.idw
ID: grass:v.surf.rst | Name: v.surf.rst
ID: grass:v.surf.rst.cvdev | Name: v.surf.rst.cvdev
ID: grass:v.to.3d | Name: v.to.3d
ID: grass:v.to.lines | Name: v.to.lines
ID: grass:v.to.points | Name: v.to.points
ID: grass:v.to.rast | Name: v.to.rast
ID: grass:v.transform | Name: v.transform
ID: grass:v.type | Name: v.type
ID: grass:v.univar | Name: v.univar
ID: grass:v.vect.stats | Name: v.vect.stats
ID: grass:v.voronoi | Name: v.voronoi
ID: grass:v.voronoi.skeleton | Name: v.voronoi.skeleton
ID: grass:v.what.rast | Name: v.what.rast
ID: grass:v.what.vect | Name: v.what.vect
ID: native:addautoincrementalfield | Name: 자동 증가 필드 추가
ID: native:addfieldtoattributestable | Name: 속성 테이블에 필드 추가
ID: native:adduniquevalueindexfield | Name: 유일 값 인덱스 필드 추가
ID: native:addxyfields | Name: X/Y 필드를 레이어에 추가
ID: native:affinetransform | Name: 아핀(affine) 변형
ID: native:aggregate | Name: 집계
ID: native:alignrasters | Name: 래스터 정렬
ID: native:alignsingleraster | Name: 래스터 정렬
ID: native:angletonearest | Name: 피처에 포인트 정렬
ID: native:antimeridiansplit | Name: 반대 자오선에서 측지선 분할
ID: native:arrayoffsetlines | Name: 오프셋 (평행) 선의 배열
ID: native:arraytranslatedfeatures | Name: 변환된 피처 배열
ID: native:aspect | Name: 경사 방향
ID: native:assignprojection | Name: 투영체 적용
ID: native:atlaslayouttoimage | Name: 지도책 조판을 이미지로 내보내기
ID: native:atlaslayouttomultiplepdf | Name: 지도책 조판을 PDF로 내보내기 (여러 파일)
ID: native:atlaslayouttopdf | Name: 지도책 조판을 PDF로 내보내기 (단일 파일)
ID: native:b3dmtogltf | Name: B3DM을 GLTF로 변환
ID: native:batchnominatimgeocoder | Name: 노미나팀(Nominatim) 지오코드 작업자 배치(batch) 처리
ID: native:bookmarkstolayer | Name: 공간 북마크를 레이어로 변환
ID: native:boundary | Name: 경계
ID: native:boundingboxes | Name: 경계 상자
ID: native:buffer | Name: 버퍼
ID: native:bufferbym | Name: 가변 너비 버퍼 (M 값에 따라)
ID: native:calculateexpression | Name: 표현식 계산
ID: native:calculatevectoroverlaps | Name: 중첩 분석
ID: native:categorizeusingstyle | Name: 스타일에서 범주 렌더링 작업자 생성
ID: native:cellstackpercentile | Name: 셀 스택 백분위수
ID: native:cellstackpercentrankfromrasterlayer | Name: 래스터 레이어에서 나온 셀 스택 백분위 순위
ID: native:cellstackpercentrankfromvalue | Name: 값에서 나온 셀 스택 백분위 순위
ID: native:cellstatistics | Name: 셀 통계
ID: native:centroids | Name: 중심점
ID: native:clip | Name: 잘라내기(clip)
ID: native:collect | Name: 지오메트리 수집
ID: native:combinestyles | Name: 스타일 데이터베이스 결합하기
ID: native:concavehull | Name: 오목 껍질
ID: native:condition | Name: 조건부 분기(conditional branch)
ID: native:convertgpsdata | Name: GPS 데이터 변환
ID: native:convertgpxfeaturetype | Name: GPX 피처 유형 변환
ID: native:converttocurves | Name: 만곡 지오메트리으로 변환
ID: native:convexhull | Name: 볼록 껍질
ID: native:countpointsinpolygon | Name: 폴리곤에 포함하는 포인트 개수 계산
ID: native:coveragesimplify | Name: Simplify coverage
ID: native:coverageunion | Name: Dissolve coverage
ID: native:coveragevalidate | Name: Validate coverage
ID: native:createattributeindex | Name: 속성 인덱스 생성
ID: native:createconstantrasterlayer | Name: 상수값 래스터 레이어 생성
ID: native:createdirectory | Name: 디렉터리 생성
ID: native:creategrid | Name: 그리드 생성
ID: native:createpointslayerfromtable | Name: 테이블에서 포인트 생성
ID: native:createrandombinomialrasterlayer | Name: 랜덤 래스터 레이어 생성 (이항 분포)
ID: native:createrandomexponentialrasterlayer | Name: 랜덤 래스터 레이어 생성 (지수 분포)
ID: native:createrandomgammarasterlayer | Name: 랜덤 래스터 레이어 생성 (감마 분포)
ID: native:createrandomgeometricrasterlayer | Name: 랜덤 래스터 레이어 생성 (지오메트릭 분포)
ID: native:createrandomnegativebinomialrasterlayer | Name: 랜덤 래스터 레이어 생성 (음의 이항 분포)
ID: native:createrandomnormalrasterlayer | Name: 랜덤 래스터 레이어 생성 (정규 분포)
ID: native:createrandompoissonrasterlayer | Name: 랜덤 래스터 레이어 생성 (푸아송 분포)
ID: native:createrandomuniformrasterlayer | Name: 랜덤 래스터 레이어 생성 (균등 분포)
ID: native:createspatialindex | Name: 공간 인덱스 생성
ID: native:dbscanclustering | Name: DBSCAN 클러스터링
ID: native:delaunaytriangulation | Name: 델로네 삼각분할
ID: native:deletecolumn | Name: 필드 삭제
ID: native:deleteduplicategeometries | Name: 중복 지오메트리 삭제
ID: native:deleteholes | Name: 홀 삭제
ID: native:densifygeometries | Name: 개수로 꼭짓점 추가하기
ID: native:densifygeometriesgivenaninterval | Name: 간격으로 꼭짓점 추가하기
ID: native:detectvectorchanges | Name: 데이터셋 변경 사항 탐지
ID: native:difference | Name: 빼기
ID: native:dissolve | Name: 디졸브
ID: native:downloadgpsdata | Name: 장치에서 GPS 데이터 다운로드
ID: native:downloadvectortiles | Name: 벡터 타일 다운로드
ID: native:dropgeometries | Name: 지오메트리 삭제
ID: native:dropmzvalues | Name: M/Z 값 삭제
ID: native:dtmslopebasedfilter | Name: DTM 필터 (경사 기반)
ID: native:dxfexport | Name: 레이어를 DXF로 내보내기
ID: native:equaltofrequency | Name: 빈도와 동일
ID: native:explodehstorefield | Name: HStore 필드 분해
ID: native:explodelines | Name: 라인 분해
ID: native:exportlayersinformation | Name: 레이어(들) 정보 내보내기
ID: native:exportmeshedges | Name: 메시 가장자리 내보내기 
ID: native:exportmeshfaces | Name: 메시 면 내보내기 
ID: native:exportmeshongrid | Name: 그리드에 메시 내보내기 
ID: native:exportmeshvertices | Name: 메시 꼭짓점(들) 내보내기
ID: native:exporttospreadsheet | Name: 스프레드시트 내보내기
ID: native:extendlines | Name: 라인 연장
ID: native:extenttolayer | Name: 범위로부터 레이어 생성
ID: native:extractbinary | Name: 바이너리 필드 추출
ID: native:extractbyattribute | Name: 속성으로 추출
ID: native:extractbyexpression | Name: 표현식으로 추출
ID: native:extractbyextent | Name: 범위로 추출/잘라내기
ID: native:extractbylocation | Name: 위치로 추출
ID: native:extractlabels | Name: 라벨 추출
ID: native:extractmvalues | Name: M 값 추출
ID: native:extractspecificvertices | Name: 특정 꼭짓점 추출
ID: native:extractvertices | Name: 꼭짓점 추출
ID: native:extractwithindistance | Name: 거리 안에서 추출
ID: native:extractzvalues | Name: Z 값 추출
ID: native:fieldcalculator | Name: 필드 계산기
ID: native:filedownloader | Name: 파일 다운로드
ID: native:fillnodata | Name: NODATA 셀 채우기
ID: native:filter | Name: 피처 필터
ID: native:filterbygeometry | Name: 지오메트리 유형으로 필터링
ID: native:filterlayersbytype | Name: 유형으로 레이어 필터링
ID: native:filterverticesbym | Name: M 값으로 꼭짓점 필터링
ID: native:filterverticesbyz | Name: Z 값으로 꼭짓점 필터링
ID: native:fixgeometries | Name: 지오메트리 수정
ID: native:flattenrelationships | Name: 관계 평탄화
ID: native:forcerhr | Name: 오른쪽 방향 규칙 적용
ID: native:fuzzifyrastergaussianmembership | Name: 래스터 퍼지화 (가우스 멤버십)
ID: native:fuzzifyrasterlargemembership | Name: 래스터 퍼지화 (큰 값 멤버십)
ID: native:fuzzifyrasterlinearmembership | Name: 래스터 퍼지화(fuzzify) (선형 멤버십)
ID: native:fuzzifyrasternearmembership | Name: 래스터 퍼지화 (근접 멤버십)
ID: native:fuzzifyrasterpowermembership | Name: 래스터 퍼지화 (거듭제곱 멤버십)
ID: native:fuzzifyrastersmallmembership | Name: 래스터 퍼지화 ('작은 값' 멤버십)
ID: native:generatepointspixelcentroidsinsidepolygons | Name: 폴리곤 내부에 포인트(픽셀 중심) 생성
ID: native:geometrybyexpression | Name: 표현식 기반 지오메트리
ID: native:gltftovector | Name: GLTF를 벡터 피처로 변환
ID: native:greaterthanfrequency | Name: 빈도 초과
ID: native:highestpositioninrasterstack | Name: 래스터 스택에서 가장 높은 위치
ID: native:hillshade | Name: 음영기복도
ID: native:hublines | Name: 라인에 따라 결합 (허브 라인)
ID: native:importintopostgis | Name: Export to PostgreSQL
ID: native:importphotos | Name: 지오캐깅된 사진 가져오기
ID: native:interpolatepoint | Name: 라인 상에 포인트 보간
ID: native:intersection | Name: 교차 영역
ID: native:joinattributesbylocation | Name: 위치에 따라 속성 결합
ID: native:joinattributestable | Name: 필드 값으로 속성 결합
ID: native:joinbylocationsummary | Name: 위치에 따라 속성 결합 (요약)
ID: native:joinbynearest | Name: 최근접 거리를 이용하여 속성을 결합
ID: native:keepnbiggestparts | Name: N개의 최대 부분 유지
ID: native:kmeansclustering | Name: K-means 클러스터링
ID: native:layertobookmarks | Name: 레이어를 공간 북마크로 변환
ID: native:lessthanfrequency | Name: 빈도 미만
ID: native:linedensity | Name: 라인 밀도 분석
ID: native:lineintersections | Name: 라인 교차 영역
ID: native:linesubstring | Name: 라인 부분 추출
ID: native:loadlayer | Name: 프로젝트에 레이어 불러오기
ID: native:lowestpositioninrasterstack | Name: 래스터 스택에서 가장 낮은 위치
ID: native:meancoordinates | Name: 평균 좌표(들)
ID: native:mergelines | Name: 라인 병합
ID: native:mergevectorlayers | Name: 벡터 레이어 병합
ID: native:meshcontours | Name: 등고선 내보내기
ID: native:meshexportcrosssection | Name: 메시로부터 라인 상의 공간교차 부분 데이터셋 값 추출하기
ID: native:meshexporttimeseries | Name: 메시 데이터셋의 포인트에서 시계열 값 내보내기
ID: native:meshrasterize | Name: 메시 데이터셋 래스터화
ID: native:minimumenclosingcircle | Name: 최소 외함(enclosing) 원
ID: native:modelerrastercalc | Name: 래스터 계산기
ID: native:modelervirtualrastercalc | Name: 래스터 계산기 (가상)
ID: native:multidifference | Name: 차 (다중)
ID: native:multiintersection | Name: 교차 영역 (다중)
ID: native:multiparttosingleparts | Name: 다중 부분을 단일 부분으로
ID: native:multiringconstantbuffer | Name: 다중 고리 버퍼 (고정 거리)
ID: native:multiunion | Name: 통합 (다중)
ID: native:nearestneighbouranalysis | Name: 최근접 이웃 분석
ID: native:offsetline | Name: 라인 오프셋
ID: native:orderbyexpression | Name: 표현식으로 정렬
ID: native:orientedminimumboundingbox | Name: 방향 지정 최소 경계 상자
ID: native:orthogonalize | Name: 직교화
ID: native:package | Name: 레이어 패키지
ID: native:pixelstopoints | Name: 래스터 픽셀을 포인트로 변환
ID: native:pixelstopolygons | Name: 래스터 픽셀을 폴리곤으로 변환
ID: native:pointonsurface | Name: 표면 상에 있는 포인트
ID: native:pointsalonglines | Name: 지오메트리 경계를 따르는 포인트
ID: native:pointstopath | Name: 포인트를 경로로
